t_rel,state_stamp,x,y,z,vx,vy,vz
7.242305,1783596160.144047,0.201718,0.686498,1.889729,1.187262,1.917700,-0.080560
7.262328,1783596160.160098,0.216465,0.709870,1.888152,1.246861,1.952859,-0.161086
7.282330,1783596160.180028,0.244824,0.752844,1.883426,1.363251,2.025390,-0.294815
7.302319,1783596160.202541,0.276147,0.797922,1.875951,1.486941,2.096565,-0.428692
7.322333,1783596160.224977,0.306650,0.839815,1.866838,1.603672,2.157025,-0.548844
7.342312,1783596160.237931,0.321904,0.860193,1.861478,1.656038,2.179392,-0.609796
7.362325,1783596160.258685,0.354687,0.902597,1.848909,1.761968,2.218350,-0.736903
7.382316,1783596160.282861,0.390225,0.946620,1.834046,1.874560,2.264651,-0.862871
7.402796,1783596160.305195,0.409164,0.969492,1.826557,1.930631,2.287453,-0.921980
7.422313,1783596160.318192,0.431166,0.995520,1.816574,1.996667,2.317476,-0.991807
7.442311,1783596160.339826,0.475297,1.046213,1.796188,2.132785,2.391318,-1.117448
7.462319,1783596160.360728,0.521858,1.098194,1.773238,2.264079,2.467462,-1.239089
7.482324,1783596160.379131,0.546184,1.125085,1.762080,2.329516,2.511094,-1.290399
7.502421,1783596160.401956,0.614898,1.199224,1.725650,2.488902,2.620416,-1.439920
7.522320,1783596160.424609,0.637075,1.223500,1.715593,2.526216,2.649756,-1.469715
7.542370,1783596160.424626,0.637075,1.223500,1.715593,2.526216,2.649756,-1.469715
7.562411,1783596160.461617,0.720397,1.311614,1.672851,2.732876,2.831696,-1.608513
7.582323,1783596160.482913,0.779027,1.373409,1.641783,2.861657,2.955826,-1.689750
7.602324,1783596160.498161,0.806433,1.402714,1.627154,2.901678,2.999227,-1.716617
7.622329,1783596160.524495,0.876971,1.477574,1.590267,3.038132,3.139195,-1.775087
7.642307,1783596160.543248,0.911266,1.514149,1.572646,3.097095,3.200572,-1.794475
7.662329,1783596160.556782,0.944853,1.549743,1.554696,3.143611,3.245941,-1.812079
7.682327,1783596160.578820,1.004283,1.612860,1.522998,3.202595,3.297689,-1.831747
7.702325,1783596160.604038,1.068481,1.680486,1.489434,3.266982,3.342876,-1.848902
7.722355,1783596160.617110,1.103386,1.716933,1.471542,3.304908,3.366738,-1.859062
7.742322,1783596160.642747,1.174177,1.789984,1.435228,3.380306,3.405853,-1.877581
7.762319,1783596160.664252,1.246769,1.863469,1.397548,3.458721,3.439683,-1.897510
7.782320,1783596160.678073,1.244568,1.861666,1.400081,3.443873,3.428837,-1.880619
7.802337,1783596160.701429,1.311716,1.928629,1.366056,3.496236,3.438773,-1.880220
7.822413,1783596160.721556,1.378183,1.993793,1.332080,3.555820,3.458594,-1.882782
7.842270,1783596160.744460,1.439923,2.053565,1.301690,3.573392,3.443760,-1.857397
7.862394,1783596160.758383,1.473857,2.086098,1.285290,3.579640,3.434649,-1.840235
7.882324,1783596160.782488,1.541131,2.150060,1.253505,3.600069,3.430520,-1.811203
7.902576,1783596160.805255,1.617979,2.222529,1.217594,3.628287,3.437002,-1.790657
7.922323,1783596160.823132,1.657085,2.259074,1.199972,3.651138,3.449230,-1.784666
7.942345,1783596160.838592,1.691226,2.290900,1.184288,3.658480,3.446891,-1.777607
7.962321,1783596160.859468,1.762955,2.357383,1.151141,3.668197,3.433039,-1.765448
7.982434,1783596160.881988,1.799470,2.390504,1.134721,3.665426,3.412932,-1.752024
8.002446,1783596160.902966,1.872543,2.457076,1.100615,3.660072,3.373565,-1.735307
8.022327,1783596160.914897,1.905599,2.486846,1.085214,3.658440,3.354235,-1.728987
8.042325,1783596160.938540,1.974598,2.548423,1.052987,3.655775,3.311845,-1.720477
8.062512,1783596160.958094,2.047893,2.612415,1.018653,3.623223,3.230406,-1.702601
8.082333,1783596160.979030,2.110515,2.665937,0.989035,3.614531,3.174942,-1.700255
8.102323,1783596161.000197,2.173075,2.718488,0.959232,3.609883,3.119976,-1.698173
8.122312,1783596161.019880,2.233818,2.768388,0.930219,3.596757,3.053962,-1.686931
8.142317,1783596161.032665,2.275061,2.802191,0.910685,3.601509,3.023609,-1.681091
8.162344,1783596161.060217,2.333630,2.848248,0.882955,3.556921,2.925050,-1.646382
8.182337,1783596161.083560,2.393059,2.894533,0.855071,3.539124,2.855520,-1.620351
8.202398,1783596161.096734,2.389452,2.891044,0.856611,3.515521,2.833008,-1.611550
8.223653,1783596161.110893,2.421527,2.915889,0.841843,3.500532,2.793407,-1.592439
8.243888,1783596161.140738,2.495992,2.970613,0.807793,3.351886,2.597973,-1.500576
8.263711,1783596161.166184,2.542328,3.003370,0.786378,3.249054,2.470475,-1.443159
8.283729,1783596161.179593,2.570932,3.023651,0.773129,3.215441,2.420415,-1.423748
8.303962,1783596161.203984,2.625022,3.061405,0.747890,3.168132,2.339385,-1.400198
8.323750,1783596161.219683,2.660496,3.086317,0.731542,3.160953,2.307935,-1.393335
