t_rel,state_stamp,x,y,z,vx,vy,vz
6.624624,1783675225.633201,0.302826,0.309371,1.050042,1.461926,1.406372,-0.462236
6.634670,1783675225.633201,0.302826,0.309371,1.050042,1.461926,1.406372,-0.462236
6.646279,1783675225.655601,0.335353,0.340769,1.039785,1.497996,1.449206,-0.459723
6.658444,1783675225.655601,0.335353,0.340769,1.039785,1.497996,1.449206,-0.459723
6.668541,1783675225.669213,0.365738,0.370297,1.030273,1.517754,1.473756,-0.448888
6.679427,1783675225.687557,0.380603,0.384794,1.025708,1.523782,1.480766,-0.441134
6.688682,1783675225.695731,0.395019,0.398885,1.021313,1.526225,1.483322,-0.432180
6.698671,1783675225.695731,0.395019,0.398885,1.021313,1.526225,1.483322,-0.432180
6.708609,1783675225.718827,0.424450,0.427657,1.012692,1.526177,1.480410,-0.410259
6.718596,1783675225.718827,0.424450,0.427657,1.012692,1.526177,1.480410,-0.410259
6.728615,1783675225.732138,0.438212,0.441121,1.008838,1.524745,1.476795,-0.398721
6.738596,1783675225.746584,0.451601,0.454213,1.005212,1.520872,1.470622,-0.386055
6.748652,1783675225.754888,0.465160,0.467416,1.001718,1.518306,1.465457,-0.372852
6.758604,1783675225.764449,0.478068,0.480020,0.998508,1.510947,1.456617,-0.357753
6.768831,1783675225.771624,0.492923,0.494434,0.995026,1.506956,1.451046,-0.340898
6.778611,1783675225.781572,0.505993,0.507147,0.992127,1.499478,1.443913,-0.323500
6.789461,1783675225.798500,0.518667,0.519584,0.989504,1.478684,1.426438,-0.300123
6.801008,1783675225.804804,0.531027,0.531697,0.987134,1.464088,1.416487,-0.279084
6.812848,1783675225.817725,0.543134,0.543683,0.985021,1.446125,1.406103,-0.256928
6.824645,1783675225.829147,0.555326,0.555827,0.983060,1.427001,1.396837,-0.235224
6.834693,1783675225.837618,0.567382,0.567929,0.981275,1.405426,1.387290,-0.214369
6.844700,1783675225.847722,0.578698,0.579502,0.979777,1.377626,1.374360,-0.193897
6.854712,1783675225.857706,0.590385,0.591509,0.978313,1.351607,1.364306,-0.175778
6.864711,1783675225.870076,0.601398,0.603050,0.977068,1.320895,1.351414,-0.158518
6.874700,1783675225.881655,0.612465,0.614757,0.975893,1.290965,1.339897,-0.142971
6.885107,1783675225.887743,0.622471,0.625611,0.974949,1.255088,1.323392,-0.127479
6.897017,1783675225.899713,0.631226,0.635449,0.974239,1.212804,1.301265,-0.111507
6.908949,1783675225.912280,0.643974,0.649968,0.973287,1.161000,1.277043,-0.090375
6.919011,1783675225.920856,0.642125,0.648316,0.973486,1.149321,1.266585,-0.089539
6.929399,1783675225.930042,0.652570,0.660330,0.972789,1.115766,1.253585,-0.072777
6.939000,1783675225.947939,0.659727,0.669337,0.972463,1.074533,1.231457,-0.054952
6.949028,1783675225.956516,0.670346,0.681934,0.972033,1.052081,1.226765,-0.036067
6.959009,1783675225.969125,0.678487,0.692120,0.971887,1.026848,1.216403,-0.017660
6.969275,1783675225.969125,0.678487,0.692120,0.971887,1.026848,1.216403,-0.017660
6.979655,1783675225.981559,0.686916,0.702708,0.971865,1.008615,1.210884,-0.000137
6.992014,1783675226.000642,0.703736,0.724034,0.972209,0.985697,1.206620,0.030080
7.003422,1783675226.010750,0.711949,0.734592,0.972541,0.979262,1.206577,0.042527
7.013433,1783675226.020694,0.720254,0.745240,0.972959,0.976787,1.208583,0.053387
7.025410,1783675226.030834,0.728700,0.756055,0.973458,0.978207,1.213035,0.063296
7.035473,1783675226.041834,0.736960,0.766679,0.974005,0.980738,1.217275,0.072113
7.045474,1783675226.051684,0.745760,0.777856,0.974660,0.988580,1.225881,0.081218
7.055484,1783675226.062485,0.754537,0.788974,0.975379,0.997326,1.234395,0.090242
7.066122,1783675226.062485,0.754537,0.788974,0.975379,0.997326,1.234395,0.090242
7.076170,1783675226.085679,0.774877,0.814401,0.977350,1.024266,1.258809,0.112217
7.086267,1783675226.095642,0.784564,0.826358,0.978439,1.038829,1.271471,0.123903
7.096172,1783675226.105795,0.793675,0.837573,0.979525,1.048605,1.278212,0.134528
7.106445,1783675226.115741,0.803118,0.849116,0.980758,1.059592,1.286163,0.146101
7.116194,1783675226.125687,0.811785,0.859669,0.981951,1.064272,1.286458,0.156678
7.126177,1783675226.125687,0.811785,0.859669,0.981951,1.064272,1.286458,0.156678
7.136175,1783675226.137109,0.821228,0.871078,0.983368,1.072834,1.291282,0.169003
7.146181,1783675226.147338,0.831341,0.883235,0.985037,1.079067,1.292938,0.182439
7.156193,1783675226.147348,0.842074,0.896055,0.987059,1.081890,1.290508,0.196345
7.166176,1783675226.171694,0.852480,0.908428,0.989127,1.092159,1.297766,0.211722
7.176690,1783675226.181647,0.862700,0.920526,0.991347,1.099788,1.302180,0.226939
7.188653,1783675226.191681,0.873075,0.932762,0.993729,1.107298,1.306578,0.242727
7.198708,1783675226.202520,0.883485,0.944994,0.996294,1.114150,1.310455,0.258966
7.208840,1783675226.216477,0.894031,0.957349,0.999024,1.121247,1.314832,0.275448
7.220134,1783675226.222499,0.904605,0.969699,1.001944,1.128126,1.319328,0.292074
7.230818,1783675226.231795,0.915306,0.982171,1.005024,1.135650,1.324907,0.308534
7.241622,1783675226.247540,0.927026,0.995799,1.008590,1.143533,1.331198,0.325935
7.251671,1783675226.256890,0.926680,0.995375,1.008850,1.141109,1.329194,0.328054
7.262014,1783675226.267147,0.939058,1.009765,1.012746,1.153424,1.341101,0.346707
7.273962,1783675226.277689,0.950159,1.022648,1.016414,1.163600,1.351545,0.362049
7.285953,1783675226.286645,0.961283,1.035552,1.020159,1.174037,1.362913,0.375789
7.296725,1783675226.306837,0.983052,1.060793,1.027681,1.191952,1.384206,0.397257
7.308295,1783675226.316882,0.993812,1.073283,1.031533,1.200177,1.395270,0.406105
7.319371,1783675226.328847,1.004720,1.085966,1.035467,1.209316,1.408098,0.414376
7.329417,1783675226.337112,1.015800,1.098874,1.039429,1.219357,1.422577,0.421993
7.339478,1783675226.346853,1.026232,1.111053,1.043214,1.224705,1.432462,0.426582
7.350154,1783675226.357085,1.036623,1.123222,1.047026,1.229462,1.442487,0.430670
7.360175,1783675226.367606,1.046982,1.135399,1.050865,1.233560,1.452644,0.434192
7.370188,1783675226.367606,1.046982,1.135399,1.050865,1.233560,1.452644,0.434192
7.380180,1783675226.388618,1.068729,1.161142,1.058996,1.239979,1.474247,0.440167
7.390741,1783675226.398880,1.078516,1.172828,1.062822,1.238145,1.480029,0.441641
7.400608,1783675226.398880,1.078516,1.172828,1.062822,1.238145,1.480029,0.441641
7.412680,1783675226.422864,1.099700,1.198367,1.071701,1.242016,1.504107,0.453073
7.422742,1783675226.433024,1.111207,1.212371,1.076491,1.247832,1.521905,0.461467
7.432876,1783675226.433024,1.111207,1.212371,1.076491,1.247832,1.521905,0.461467
7.442732,1783675226.447877,1.124869,1.229129,1.082412,1.251902,1.540319,0.471925
7.453829,1783675226.459296,1.137047,1.244173,1.087539,1.258751,1.560114,0.482191
7.463883,1783675226.466808,1.150249,1.260604,1.093178,1.263446,1.578095,0.492196
7.474192,1783675226.476835,1.162003,1.275337,1.098470,1.264873,1.590610,0.501079
7.483885,1783675226.489034,1.173802,1.290216,1.103613,1.265934,1.601425,0.508465
7.496476,1783675226.499572,1.186809,1.306706,1.109484,1.266675,1.611969,0.517002
7.506531,1783675226.511672,1.201118,1.324938,1.116079,1.267969,1.622434,0.526629
7.516539,1783675226.521513,1.212771,1.339835,1.121548,1.267455,1.627359,0.532649
7.526549,1783675226.521513,1.212771,1.339835,1.121548,1.267455,1.627359,0.532649
7.536530,1783675226.545955,1.226410,1.357202,1.128911,1.264885,1.629203,0.545042
7.546532,1783675226.550269,1.226672,1.357508,1.129289,1.266723,1.631401,0.548462
7.556537,1783675226.559778,1.240984,1.375825,1.136305,1.277106,1.646431,0.561974
7.566632,1783675226.572084,1.255248,1.394062,1.143332,1.287692,1.659531,0.572326
7.576692,1783675226.580541,1.269149,1.411859,1.149872,1.296589,1.668677,0.575431
7.586718,1783675226.591290,1.283037,1.429518,1.156653,1.306185,1.677017,0.578582
7.596695,1783675226.591290,1.283037,1.429518,1.156653,1.306185,1.677017,0.578582
7.606696,1783675226.615854,1.310963,1.464745,1.170485,1.335912,1.703192,0.587768
7.616705,1783675226.626826,1.324476,1.481708,1.176925,1.351547,1.716438,0.588026
7.626688,1783675226.626826,1.324476,1.481708,1.176925,1.351547,1.716438,0.588026
7.636687,1783675226.641518,1.337931,1.498382,1.183406,1.366546,1.728072,0.587111
7.646719,1783675226.649289,1.353559,1.517840,1.190576,1.388230,1.747499,0.585371
7.656692,1783675226.658751,1.369243,1.537220,1.197630,1.409009,1.765830,0.581591
7.666694,1783675226.668715,1.383218,1.554377,1.203677,1.424971,1.779047,0.573684
7.676687,1783675226.679699,1.397530,1.571847,1.209777,1.442001,1.793850,0.566521
7.686704,1783675226.691203,1.413744,1.591569,1.216535,1.462202,1.812453,0.559574
7.696714,1783675226.699911,1.428315,1.609326,1.222268,1.477881,1.827057,0.549584
7.706697,1783675226.711609,1.428229,1.608899,1.222505,1.476984,1.824747,0.551152
7.716691,1783675226.724854,1.459514,1.646846,1.234347,1.509374,1.856108,0.531705
7.728220,1783675226.724854,1.459514,1.646846,1.234347,1.509374,1.856108,0.531705
7.738894,1783675226.748705,1.492435,1.686338,1.246567,1.543774,1.890936,0.518813
7.748959,1783675226.758860,1.508045,1.705023,1.252078,1.556910,1.903872,0.510528
7.758950,1783675226.768967,1.523572,1.723619,1.257358,1.568033,1.914441,0.500696
7.769954,1783675226.779185,1.539041,1.742069,1.262488,1.577491,1.922570,0.490009
7.781925,1783675226.788945,1.554674,1.760730,1.267524,1.587144,1.930604,0.479566
7.793736,1783675226.798777,1.554209,1.759841,1.267552,1.583683,1.925297,0.478499
7.806327,1783675226.807791,1.570886,1.779734,1.272668,1.590097,1.928627,0.463121
7.817496,1783675226.818674,1.587174,1.798992,1.277553,1.593645,1.926797,0.446743
