t_rel,state_stamp,x,y,z,vx,vy,vz
8.602360,1783596378.833067,0.855486,0.747632,1.377262,1.153602,0.755165,0.642300
8.622305,1783596378.855551,0.866077,0.755616,1.384243,1.108884,0.749535,0.651877
8.642261,1783596378.877134,0.885951,0.770334,1.397311,1.040860,0.750459,0.671445
8.662266,1783596378.897977,0.908403,0.788030,1.413334,0.959607,0.758321,0.693394
8.682258,1783596378.908572,0.916212,0.794832,1.419568,0.922871,0.760594,0.699768
8.702264,1783596378.929946,0.931328,0.809066,1.432780,0.844128,0.765375,0.712808
8.722268,1783596378.952816,0.943941,0.822551,1.445645,0.766334,0.768456,0.726583
8.742260,1783596378.975995,0.957731,0.838390,1.461293,0.695139,0.779589,0.755949
8.762274,1783596378.989209,0.957410,0.838421,1.461516,0.693572,0.779257,0.758420
8.782274,1783596379.012872,0.977083,0.863487,1.486613,0.582437,0.791852,0.799083
8.802264,1783596379.036089,0.982338,0.871569,1.495173,0.542315,0.792595,0.812590
8.822228,1783596379.051163,0.992788,0.888424,1.513138,0.472436,0.803494,0.846988
8.842281,1783596379.071991,0.997239,0.896405,1.521831,0.439316,0.808884,0.862250
8.862276,1783596379.091952,1.005367,0.912622,1.539561,0.375066,0.823892,0.890679
8.882374,1783596379.113162,1.012743,0.930151,1.558947,0.311985,0.847854,0.922021
8.902265,1783596379.134131,1.019782,0.951266,1.582037,0.242760,0.885738,0.952546
8.922292,1783596379.156864,1.022403,0.959796,1.591294,0.217730,0.900306,0.955408
8.942275,1783596379.170183,1.024701,0.968720,1.600959,0.197336,0.923423,0.967548
8.962282,1783596379.191011,1.029140,0.989775,1.622878,0.157297,0.983006,0.984569
8.982265,1783596379.212819,1.032802,1.011417,1.644536,0.134725,1.056405,1.003377
9.002294,1783596379.229922,1.034625,1.023237,1.655828,0.127812,1.097252,1.007876
9.022290,1783596379.250116,1.037850,1.048375,1.678366,0.119482,1.185137,1.007578
9.042364,1783596379.272009,1.040904,1.072932,1.698443,0.120370,1.264643,0.984695
9.062274,1783596379.296442,1.042868,1.085833,1.708445,0.125813,1.303082,0.964714
9.082300,1783596379.308720,1.044544,1.099922,1.718746,0.130079,1.346676,0.945951
9.102398,1783596379.332327,1.047939,1.126466,1.736902,0.142423,1.423819,0.902593
9.122266,1783596379.353864,1.051637,1.156773,1.755504,0.156948,1.508135,0.849471
9.142258,1783596379.376367,1.055735,1.188701,1.772920,0.174553,1.589720,0.784949
9.162264,1783596379.397275,1.060121,1.223118,1.788936,0.194175,1.666271,0.700149
9.182302,1783596379.410081,1.062429,1.238716,1.795306,0.205217,1.687543,0.645052
9.202324,1783596379.434217,1.067191,1.271336,1.807422,0.230252,1.752138,0.558112
9.222260,1783596379.457207,1.073389,1.312549,1.819614,0.265173,1.830503,0.447742
9.242432,1783596379.474843,1.076392,1.328476,1.824188,0.283411,1.850529,0.400267
9.262278,1783596379.496886,1.082894,1.365185,1.832041,0.324966,1.907577,0.300319
9.282250,1783596379.511379,1.087264,1.387653,1.835974,0.352896,1.935838,0.237674
9.302443,1783596379.531964,1.095504,1.426973,1.841315,0.407667,1.994287,0.142333
9.322263,1783596379.531964,1.095504,1.426973,1.841315,0.407667,1.994287,0.142333
9.342261,1783596379.575223,1.111708,1.493102,1.847145,0.511663,2.091269,0.002033
9.362336,1783596379.590712,1.123939,1.537370,1.848517,0.586102,2.162399,-0.080344
9.382277,1783596379.615051,1.130968,1.560526,1.848941,0.627454,2.200972,-0.117725
9.402274,1783596379.633339,1.140498,1.590911,1.848361,0.680008,2.248374,-0.170792
9.422261,1783596379.656341,1.156081,1.637246,1.845850,0.759579,2.311211,-0.255042
9.442265,1783596379.677114,1.174491,1.688451,1.840607,0.843265,2.373315,-0.352290
9.462352,1783596379.692729,1.183502,1.711961,1.837612,0.882152,2.401057,-0.396012
9.482254,1783596379.712328,1.203158,1.761367,1.829617,0.961299,2.454993,-0.490184
9.502482,1783596379.734318,1.224133,1.811192,1.819621,1.042644,2.506109,-0.584138
9.522392,1783596379.754894,1.239486,1.845099,1.812027,1.098881,2.526545,-0.647206
9.542306,1783596379.776826,1.262923,1.894627,1.799486,1.191715,2.564055,-0.733959
9.562269,1783596379.789056,1.277054,1.922831,1.791734,1.248732,2.580602,-0.780742
9.582303,1783596379.810667,1.306517,1.978787,1.774864,1.372013,2.614213,-0.870601
9.602260,1783596379.832144,1.335778,2.030010,1.757896,1.493683,2.629158,-0.951632
9.622296,1783596379.852540,1.357134,2.063985,1.745887,1.569706,2.597901,-1.003415
9.642261,1783596379.872669,1.388858,2.112644,1.726804,1.687534,2.572868,-1.084892
9.662270,1783596379.888967,1.405695,2.135760,1.717641,1.744851,2.541172,-1.118786
9.682293,1783596379.912675,1.440239,2.181539,1.697984,1.868478,2.506089,-1.189102
9.702475,1783596379.935009,1.477152,2.226198,1.677743,1.996382,2.465999,-1.247470
9.722273,1783596379.957376,1.519276,2.274093,1.654205,2.137779,2.438484,-1.305791
9.742258,1783596379.971387,1.542749,2.299213,1.641512,2.211440,2.430087,-1.332893
9.762269,1783596379.989683,1.585489,2.343388,1.617816,2.322163,2.413716,-1.383752
9.782266,1783596380.012123,1.632091,2.389186,1.592448,2.416084,2.405843,-1.441192
9.802315,1783596380.032377,1.658679,2.414405,1.578409,2.455290,2.399399,-1.472057
9.822267,1783596380.053222,1.708290,2.461567,1.550009,2.529246,2.405911,-1.548525
9.842266,1783596380.072923,1.761448,2.511375,1.518103,2.595997,2.418436,-1.631711
9.862382,1783596380.091300,1.784829,2.532962,1.504330,2.617825,2.417764,-1.660137
9.882277,1783596380.113780,1.837053,2.580825,1.471978,2.680804,2.431101,-1.727906
9.902314,1783596380.134926,1.893545,2.631645,1.436723,2.753160,2.443602,-1.789853
9.922260,1783596380.155011,1.918993,2.654229,1.421334,2.781169,2.443313,-1.809277
9.942295,1783596380.172550,1.979749,2.706928,1.382777,2.869133,2.449038,-1.873613
9.962294,1783596380.192010,2.013255,2.735348,1.362084,2.914532,2.445822,-1.899926
9.982310,1783596380.211355,2.043976,2.760975,1.342700,2.953441,2.435058,-1.924133
10.002288,1783596380.231647,2.104117,2.809814,1.304500,3.015490,2.389745,-1.959668
10.022287,1783596380.253590,2.164553,2.856706,1.266359,3.086755,2.344068,-1.990377
10.042281,1783596380.276905,2.229912,2.905109,1.225406,3.163505,2.293999,-2.016478
10.062283,1783596380.290078,2.261500,2.927700,1.205792,3.189679,2.261693,-2.019926
10.082270,1783596380.310861,2.330685,2.975499,1.163287,3.255145,2.209967,-2.034351
10.102291,1783596380.332631,2.360423,2.995347,1.145601,3.261039,2.169930,-2.021853
10.122273,1783596380.355540,2.419320,3.033894,1.110167,3.295524,2.124851,-2.020020
10.142267,1783596380.373078,2.484574,3.075473,1.070855,3.344193,2.096254,-2.030880
10.162370,1783596380.391277,2.518856,3.096999,1.050414,3.367482,2.083282,-2.032643
10.182278,1783596380.414170,2.584512,3.137602,1.011391,3.404019,2.059401,-2.031054
10.202259,1783596380.435864,2.651812,3.178408,0.971637,3.440711,2.040264,-2.028609
10.222286,1783596380.457147,2.717237,3.217514,0.933382,3.453365,2.010884,-2.011861
10.242320,1783596380.471570,2.747870,3.235687,0.915533,3.451882,1.993365,-2.001355
10.262283,1783596380.491827,2.809620,3.271883,0.879608,3.445177,1.956102,-1.981115
10.282262,1783596380.515513,2.878037,3.311076,0.840131,3.430959,1.911042,-1.956494
10.302266,1783596380.536227,2.935386,3.343716,0.807023,3.381418,1.853247,-1.914098
10.322264,1783596380.557258,2.995802,3.377472,0.772306,3.328192,1.797087,-1.867828
10.342264,1783596380.571682,2.991094,3.375508,0.774275,3.298506,1.785330,-1.854481
10.362339,1783596380.589363,3.055207,3.410841,0.737483,3.249280,1.737145,-1.805469
10.382276,1783596380.612376,3.108561,3.440527,0.706564,3.176389,1.691376,-1.742063
10.402281,1783596380.634402,3.164764,3.471689,0.674147,3.128727,1.671914,-1.696205
10.422260,1783596380.657593,3.225413,3.505613,0.639322,3.093672,1.678481,-1.664896
10.442255,1783596380.670179,3.257202,3.523509,0.621421,3.076423,1.688420,-1.650597
10.462281,1783596380.691085,3.316154,3.557796,0.587574,3.034515,1.714691,-1.635335
10.482287,1783596380.710158,3.371933,3.591018,0.555705,2.993557,1.749237,-1.629333
10.502278,1783596380.734384,3.427122,3.625595,0.523188,2.930868,1.786347,-1.619354
10.522258,1783596380.752601,3.488282,3.665194,0.486980,2.869316,1.837967,-1.616257
10.542262,1783596380.772081,3.541679,3.701668,0.454226,2.801646,1.881904,-1.615608
10.562262,1783596380.796340,3.593366,3.738652,0.421338,2.728311,1.921507,-1.617368
10.582299,1783596380.817531,3.618840,3.757731,0.403828,2.682295,1.936598,-1.621091
10.602366,1783596380.834584,3.650146,3.781109,0.383451,2.637886,1.957198,-1.621652
10.622295,1783596380.853002,3.701173,3.820232,0.349363,2.576144,1.991642,-1.632323
10.642251,1783596380.876940,3.754529,3.862477,0.312300,2.518425,2.029133,-1.649113
10.662290,1783596380.889188,3.782436,3.885048,0.292492,2.499547,2.055576,-1.663765
10.682291,1783596380.910618,3.834365,3.928306,0.255504,2.457070,2.107705,-1.677459
10.702263,1783596380.932161,3.862108,3.951990,0.234834,2.423155,2.131459,-1.679366
10.722307,1783596380.954858,3.915514,3.999677,0.196010,2.362490,2.194721,-1.675420
10.742264,1783596380.968222,3.938461,4.020885,0.178919,2.336623,2.226044,-1.675841
